number,name,status
365,Addingthepkg_resourcesmodule,Rejected
206,PythonAdvancedLibrary,Withdrawn
205,WeakReferences,Final
204,RangeLiterals,Rejected
203,AugmentedAssignments,Final
369,Postimporthooks,Withdrawn
370,Perusersite-packagesdirectory,Final
202,ListComprehensions,Final
201,LockstepIteration,Final
200,Python2.0ReleaseSchedule,Final
160,Python1.6ReleaseSchedule,Final
103,Collectinginformationaboutgit,Withdrawn
371,Additionofthemultiprocessingpackagetothestandardlibrary,Final
373,Python2.7ReleaseSchedule,Final
375,Python3.1ReleaseSchedule,Final
374,ChoosingadistributedVCSforthePythonproject,Final
372,Addinganordereddictionarytocollections,Final
100,PythonUnicodeIntegration,Final
378,FormatSpecifierforThousandsSeparator,Final
377,Allow__enter__()methodstoskipthestatementbody,Rejected
376,DatabaseofInstalledPythonDistributions,Final
381,MirroringinfrastructureforPyPI,Withdrawn
380,SyntaxforDelegatingtoaSubgenerator,Final
379,AddinganAssignmentExpression,Withdrawn
383,Non-decodableBytesinSystemCharacterInterfaces,Final
382,NamespacePackages,Rejected
386,ChangingtheversioncomparisonmoduleinDistutils,Superseded
385,MigratingfromSubversiontoMercurial,Final
384,DefiningaStableABI,Final
389,argparse-NewCommandLineParsingModule,Final
387,BackwardsCompatibilityPolicy,Active
392,Python3.2ReleaseSchedule,Final
391,Dictionary-BasedConfigurationForLogging,Final
390,StaticmetadataforDistutils,Rejected
394,The“python”CommandonUnix-LikeSystems,Active
393,FlexibleStringRepresentation,Final
397,PythonlauncherforWindows,Final
396,ModuleVersionNumbers,Rejected
395,QualifiedNamesforModules,Withdrawn
400,Deprecatecodecs.StreamReaderandcodecs.StreamWriter,Deferred
399,PurePython/CAcceleratorModuleCompatibilityRequirements,Final
398,Python3.3ReleaseSchedule,Final
403,Generalpurposedecoratorclause(aka“@in”clause),Deferred
402,SimplifiedPackageLayoutandPartitioning,Rejected
407,Newreleasecycleandintroducinglong-termsupportversions,Deferred
401,BDFLRetirement,April Fool!
406,ImprovedEncapsulationofImportState,Withdrawn
405,PythonVirtualEnvironments,Final
404,Python2.8Un-releaseSchedule,Final
409,Suppressingexceptioncontext,Final
408,Standardlibrary__preview__package,Rejected
413,FasterevolutionofthePythonStandardLibrary,Withdrawn
412,Key-SharingDictionary,Final
411,ProvisionalpackagesinthePythonstandardlibrary,Superseded
415,Implementcontextsuppressionwithexceptionattributes,Final
414,ExplicitUnicodeLiteralforPython3.3,Final
410,Usedecimal.Decimaltypefortimestamps,Rejected
418,"Addmonotonictime,performancecounter,andprocesstimefunctions",Final
417,IncludingmockintheStandardLibrary,Final
416,Addafrozendictbuiltintype,Rejected
419,Protectingcleanupstatementsfrominterruptions,Deferred
422,Simplercustomisationofclasscreation,Withdrawn
425,CompatibilityTagsforBuiltDistributions,Final
424,Amethodforexposingalengthhint,Final
423,Namingconventionsandrecipesrelatedtopackaging,Deferred
421,Addingsys.implementation,Final
420,ImplicitNamespacePackages,Final
429,Python3.4ReleaseSchedule,Final
430,MigratingtoPython3asthedefaultonlinedocumentation,Final
431,Timezonesupportimprovements,Superseded
427,TheWheelBinaryPackageFormat1.0,Final
435,AddinganEnumtypetothePythonstandardlibrary,Final
428,Thepathlibmodule–object-orientedfilesystempaths,Final
432,RestructuringtheCPythonstartupsequence,Withdrawn
434,IDLEEnhancementExceptionforAllBranches,Active
426,MetadataforPythonSoftwarePackages2.0,Withdrawn
437,"ADSLforspecifyingsignatures,annotationsandargumentconverters",Rejected
433,Easiersuppressionoffiledescriptorinheritance,Superseded
436,TheArgumentClinicDSL,Final
443,Single-dispatchgenericfunctions,Final
440,VersionIdentificationandDependencySpecification,Final
439,InclusionofimplicitpipbootstrapinPythoninstallation,Rejected
438,Transitioningtorelease-filehostingonPyPI,Superseded
444,PythonWeb3Interface,Deferred
442,Safeobjectfinalization,Final
450,AddingAStatisticsModuleToTheStandardLibrary,Final
441,ImprovingPythonZIPApplicationSupport,Final
449,RemovalofthePyPIMirrorAutoDiscoveryandNamingScheme,Final
447,Add__getdescriptor__methodtometaclass,Deferred
448,AdditionalUnpackingGeneralizations,Final
446,Makenewlycreatedfiledescriptorsnon-inheritable,Final
445,AddnewAPIstocustomizePythonmemoryallocators,Final
452,APIforCryptographicHashFunctionsv2.0,Final
454,AddanewtracemallocmoduletotracePythonmemoryallocations,Final
453,ExplicitbootstrappingofpipinPythoninstallations,Final
457,NotationForPositional-OnlyParameters,Final
456,Secureandinterchangeablehashalgorithm,Final
455,Addingakey-transformingdictionarytocollections,Rejected
458,SecurePyPIdownloadswithsignedrepositorymetadata,Accepted
451,AModuleSpecTypefortheImportSystem,Final
459,StandardMetadataExtensionsforPythonSoftwarePackages,Withdrawn
462,CoredevelopmentworkflowautomationforCPython,Withdrawn
461,Adding%formattingtobytesandbytearray,Final
460,Addbinaryinterpolationandformatting,Withdrawn
465,Adedicatedinfixoperatorformatrixmultiplication,Final
464,RemovalofthePyPIMirrorAuthenticityAPI,Final
463,Exception-catchingexpressions,Rejected
468,Preservingtheorderof**kwargsinafunction.,Final
467,MinorAPIimprovementsforbinarysequences,Draft
466,NetworkSecurityEnhancementsforPython2.7.x,Final
469,MigrationofdictiterationcodetoPython3,Withdrawn
470,RemovingExternalHostingSupportonPyPI,Final
472,Supportforindexingwithkeywordarguments,Rejected
471,os.scandir()function–abetterandfasterdirectoryiterator,Final
474,Creatingforge.python.org,Withdrawn
473,Addingstructureddatatobuilt-inexceptions,Rejected
477,Backportensurepip(PEP453)toPython2.7,Final
476,Enablingcertificateverificationbydefaultforstdlibhttpclients,Final
475,RetrysystemcallsfailingwithEINTR,Final
479,ChangeStopIterationhandlinginsidegenerators,Final
478,Python3.5ReleaseSchedule,Final
482,LiteratureOverviewforTypeHints,Final
481,"MigrateCPythontoGit,Github,andPhabricator",Withdrawn
480,SurvivingaCompromiseofPyPI:End-to-endsigningofpackages,Draft
486,MakethePythonLauncherawareofvirtualenvironments,Final
484,TypeHints,Final
483,TheTheoryofTypeHints,Final
485,AFunctionfortestingapproximateequality,Final
487,Simplercustomisationofclasscreation,Final
489,Multi-phaseextensionmoduleinitialization,Final
488,EliminationofPYOfiles,Final
490,ChainexceptionsatClevel,Rejected
493,HTTPSverificationmigrationtoolsforPython2.7,Final
491,TheWheelBinaryPackageFormat1.9,Deferred
492,Coroutineswithasyncandawaitsyntax,Final
494,Python3.6ReleaseSchedule,Final
495,LocalTimeDisambiguation,Final
497,Astandardmechanismforbackwardcompatibility,Rejected
496,EnvironmentMarkers,Rejected
499,,Deferred
498,LiteralStringInterpolation,Final
500,Aprotocolfordelegatingdatetimemethodstotheirtzinfoimplementations,Rejected
501,Generalpurposestringinterpolation,Deferred
502,StringInterpolation-ExtendedDiscussion,Rejected
503,SimpleRepositoryAPI,Final
506,AddingASecretsModuleToTheStandardLibrary,Final
505,None-awareoperators,Deferred
504,UsingtheSystemRNGbydefault,Withdrawn
507,MigrateCPythontoGitandGitLab,Rejected
509,Addaprivateversiontodict,Superseded
508,DependencyspecificationforPythonSoftwarePackages,Final
512,Migratingfromhg.python.orgtoGitHub,Final
510,Specializefunctionswithguards,Rejected
513,APlatformTagforPortableLinuxBuiltDistributions,Superseded
511,APIforcodetransformers,Rejected
514,PythonregistrationintheWindowsregistry,Active
516,Buildsystemabstractionforpip/condaetc,Rejected
515,UnderscoresinNumericLiterals,Final
518,SpecifyingMinimumBuildSystemRequirementsforPythonProjects,Final
517,Abuild-systemindependentformatforsourcetrees,Final
520,PreservingClassAttributeDefinitionOrder,Final
519,Addingafilesystempathprotocol,Final
521,Managingglobalcontextvia‘with’blocksingeneratorsandcoroutines,Withdrawn
523,AddingaframeevaluationAPItoCPython,Final
525,AsynchronousGenerators,Final
529,ChangeWindowsfilesystemencodingtoUTF-8,Final
522,AllowBlockingIOErrorinsecuritysensitiveAPIs,Rejected
528,ChangeWindowsconsoleencodingtoUTF-8,Final
527,RemovingUn(der)usedfiletypes/extensionsonPyPI,Final
524,Makeos.urandom()blockingonLinux,Final
526,SyntaxforVariableAnnotations,Final
530,AsynchronousComprehensions,Final
535,Richcomparisonchaining,Deferred
534,ImprovedErrorsforMissingStandardLibraryModules,Deferred
537,Python3.7ReleaseSchedule,Final
536,FinalGrammarforLiteralStringInterpolation,Withdrawn
532,Acircuitbreakingprotocolandbinaryoperators,Deferred
531,Existencecheckingoperators,Withdrawn
533,Deterministiccleanupforiterators,Deferred
540,AddanewUTF-8Mode,Final
539,ANewC-APIforThread-LocalStorageinCPython,Final
538,CoercingthelegacyClocaletoaUTF-8basedlocale,Final
542,DotNotationAssignmentInFunctionHeader,Rejected
541,PackageIndexNameRetention,Final
545,PythonDocumentationTranslations,Final
544,Protocols:Structuralsubtyping(staticducktyping),Accepted
543,AUnifiedTLSAPIforPython,Withdrawn
548,MoreFlexibleLoopControl,Rejected
547,Runningextensionmodulesusingthe-moption,Deferred
546,Backportssl.MemoryBIOandssl.SSLObjecttoPython2.7,Rejected
550,ExecutionContext,Withdrawn
549,InstanceDescriptors,Rejected
553,Built-inbreakpoint(),Final
552,Deterministicpycs,Final
551,SecuritytransparencyinthePythonruntime,Withdrawn
555,Context-localvariables(contextvars),Withdrawn
557,DataClasses,Final
556,Threadedgarbagecollection,Deferred
560,Coresupportfortypingmoduleandgenerictypes,Accepted
559,Built-innoop(),Rejected
554,MultipleInterpretersintheStdlib,Draft
558,Definedsemanticsforlocals(),Deferred
561,DistributingandPackagingTypeInformation,Final
567,ContextVariables,Final
566,MetadataforPythonSoftwarePackages2.1,Final
564,Addnewtimefunctionswithnanosecondresolution,Final
565,ShowDeprecationWarningin__main__,Final
563,PostponedEvaluationofAnnotations,Accepted
562,Module__getattr__and__dir__,Final
570,PythonPositional-OnlyParameters,Final
569,Python3.8ReleaseSchedule,Active
568,Generator-sensitivityforContextVariables,Deferred
572,AssignmentExpressions,Final
571,Themanylinux2010PlatformTag,Superseded
574,Pickleprotocol5without-of-banddata,Final
573,ModuleStateAccessfromCExtensionMethods,Final
576,RationalizeBuilt-infunctionclasses,Withdrawn
577,AugmentedAssignmentExpressions,Withdrawn
575,Unifyingfunction/methodclasses,Withdrawn
580,TheCcallprotocol,Rejected
579,RefactoringCfunctionsandmethods,Final
578,PythonRuntimeAuditHooks,Accepted
582,Pythonlocalpackagesdirectory,Rejected
581,UsingGitHubIssuesforCPython,Accepted
585,TypeHintingGenericsInStandardCollections,Final
584,AddUnionOperatorsTodict,Final
583,AConcurrencyMemoryModelforPython,Withdrawn
588,GitHubIssuesMigrationPlan,Draft
587,PythonInitializationConfiguration,Final
586,LiteralTypes,Accepted
591,Addingafinalqualifiertotyping,Accepted
590,Vectorcall:afastcallingprotocolforCPython,Accepted
589,TypedDict:TypeHintsforDictionarieswithaFixedSetofKeys,Accepted
593,Flexiblefunctionandvariableannotations,Accepted
592,Adding“Yank”SupporttotheSimpleAPI,Final
597,AddoptionalEncodingWarning,Final
596,Python3.9ReleaseSchedule,Active
595,Improvingbugs.python.org,Withdrawn
594,Removingdeadbatteriesfromthestandardlibrary,Final
599,Themanylinux2014PlatformTag,Superseded
598,Introducingincrementalfeaturereleases,Withdrawn
602,AnnualReleaseCycleforPython,Accepted
601,Forbidreturn/break/continuebreakingoutoffinally,Rejected
600,Future‘manylinux’PlatformTagsforPortableLinuxBuiltDistributions,Final
604,Allowwritinguniontypesas,Accepted
603,Addingafrozenmaptypetocollections,Draft
606,PythonCompatibilityVersion,Rejected
605,ArollingfeaturereleasestreamforCPython,Rejected
608,CoordinatedPythonrelease,Rejected
611,Theonemillionlimit,Withdrawn
610,RecordingtheDirectURLOriginofinstalleddistributions,Final
609,PythonPackagingAuthority(PyPA)Governance,Active
607,ReducingCPython’sFeatureDeliveryLatency,Final
612,ParameterSpecificationVariables,Accepted
615,SupportfortheIANATimeZoneDatabaseintheStandardLibrary,Accepted
614,RelaxingGrammarRestrictionsOnDecorators,Final
616,Stringmethodstoremoveprefixesandsuffixes,Final
613,ExplicitTypeAliases,Accepted
619,Python3.10ReleaseSchedule,Active
618,AddOptionalLength-CheckingTozip,Final
617,NewPEGparserforCPython,Accepted
623,RemovewstrfromUnicode,Final
622,StructuralPatternMatching,Superseded
621,Storingprojectmetadatainpyproject.toml,Final
620,HideimplementationdetailsfromtheCAPI,Withdrawn
625,FilenameofaSourceDistribution,Accepted
624,RemovePy_UNICODEencoderAPIs,Final
626,Preciselinenumbersfordebuggingandothertools.,Final
628,Add,Final
627,Recordinginstalledprojects,Final
631,Dependencyspecificationinpyproject.tomlbasedonPEP508,Superseded
633,Dependencyspecificationinpyproject.tomlusinganexplodedTOMLtable,Rejected
630,IsolatingExtensionModules,Final
629,VersioningPyPI’sSimpleAPI,Final
632,Deprecatedistutilsmodule,Final
636,StructuralPatternMatching:Tutorial,Final
635,StructuralPatternMatching:MotivationandRationale,Final
634,StructuralPatternMatching:Specification,Accepted
640,Unusedvariablesyntax,Rejected
639,ImprovingLicenseClaritywithBetterPackageMetadata,Draft
638,SyntacticMacros,Draft
637,Supportforindexingwithkeywordarguments,Rejected
642,ExplicitPatternSyntaxforStructuralPatternMatching,Rejected
641,UsinganunderscoreintheversionportionofPython3.10compatibilitytags,Rejected
645,Allowwritingoptionaltypesas,Withdrawn
644,RequireOpenSSL1.1.1ornewer,Final
643,MetadataforPackageSourceDistributions,Final
648,Extensiblecustomizationsoftheinterpreteratstartup,Rejected
647,User-DefinedTypeGuards,Accepted
649,DeferredEvaluationOfAnnotationsUsingDescriptors,Accepted
646,VariadicGenerics,Accepted
650,SpecifyingInstallerRequirementsforPythonProjects,Withdrawn
651,RobustStackOverflowHandling,Rejected
653,PreciseSemanticsforPatternMatching,Draft
652,MaintainingtheStableABI,Final
658,ServeDistributionMetadataintheSimpleRepositoryAPI,Accepted
655,MarkingindividualTypedDictitemsasrequiredorpotentially-missing,Accepted
654,ExceptionGroupsandexcept*,Final
656,PlatformTagforLinuxDistributionsUsingMusl,Final
657,IncludeFineGrainedErrorLocationsinTracebacks,Final
660,Editableinstallsforpyproject.tomlbasedbuilds(wheelbased),Final
662,Editableinstallsviavirtualwheels,Rejected
665,AfileformattolistPythondependenciesforreproducibilityofanapplication,Rejected
664,Python3.11ReleaseSchedule,Active
661,SentinelValues,Draft
663,"StandardizingEnumstr(),repr(),andformat()behaviors",Rejected
659,SpecializingAdaptiveInterpreter,Draft
666,RejectFoolishIndentation,Rejected
669,LowImpactMonitoringforCPython,Accepted
668,MarkingPythonbaseenvironmentsas“externallymanaged”,Accepted
667,Consistentviewsofnamespaces,Draft
672,Unicode-relatedSecurityConsiderationsforPython,Active
671,Syntaxforlate-boundfunctionargumentdefaults,Draft
670,ConvertmacrostofunctionsinthePythonCAPI,Final
675,ArbitraryLiteralStringType,Accepted
674,Disallowusingmacrosasl-values,Deferred
676,PEPInfrastructureProcess,Active
673,SelfType,Accepted
681,DataClassTransforms,Accepted
680,tomllib:SupportforParsingTOMLintheStandardLibrary,Final
678,EnrichingExceptionswithNotes,Final
677,CallableTypeSyntax,Rejected
679,Allowparenthesesinassertstatements,Draft
688,MakingthebufferprotocolaccessibleinPython,Accepted
687,Isolatingmodulesinthestandardlibrary,Accepted
685,Comparisonofextranamesforoptionaldistributiondependencies,Accepted
684,APer-InterpreterGIL,Accepted
683,"ImmortalObjects,UsingaFixedRefcount",Accepted
682,FormatSpecifierforSignedZero,Final
686,MakeUTF-8modedefault,Accepted
691,JSON-basedSimpleAPIforPythonPackageIndexes,Accepted
693,Python3.12ReleaseSchedule,Active
690,LazyImports,Rejected
689,UnstableCAPItier,Final
697,LimitedCAPIforExtendingOpaqueTypes,Final
694,Upload2.0APIforPythonPackageRepositories,Draft
692,UsingTypedDictformoreprecise**kwargstyping,Accepted
698,OverrideDecoratorforStaticTyping,Accepted
696,TypedefaultsforTypeVarLikes,Draft
699,RemoveprivatedictversionfieldaddedinPEP509,Accepted
705,TypedDict:Read-onlyitems,Draft
695,TypeParameterSyntax,Accepted
704,Requirevirtualenvironmentsbydefaultforpackageinstallers,Withdrawn
701,Syntacticformalizationoff-strings,Accepted
700,AdditionalFieldsfortheSimpleAPIforPackageIndexes,Accepted
703,MakingtheGlobalInterpreterLockOptionalinCPython,Accepted
710,Recordingtheprovenanceofinstalledpackages,Draft
709,Inlinedcomprehensions,Accepted
708,ExtendingtheRepositoryAPItoMitigateDependencyConfusionAttacks,Provisional
707,Asimplifiedsignaturefor__exit__and__aexit__,Rejected
713,CallableModules,Rejected
706,Filterfortarfile.extractall,Final
712,Addinga“converter”parametertodataclasses.field,Draft
711,PyBI:astandardformatfordistributingPythonBinaries,Draft
720,Cross-compilingPythonpackages,Draft
719,Python3.13ReleaseSchedule,Active
718,Subscriptablefunctions,Draft
715,Disablingbdist_eggdistributionuploadsonPyPI,Final
714,Renamedist-info-metadataintheSimpleAPI,Accepted
702,Markingdeprecationsusingthetypesystem,Draft
725,Specifyingexternaldependenciesinpyproject.toml,Draft
724,StricterTypeGuards,Draft
732,ThePythonDocumentationEditorialBoard,Draft
731,CAPIWorkingGroupCharter,Draft
730,AddingiOSasasupportedplatform,Draft
729,Typinggovernanceprocess,Draft
727,DocumentationinAnnotatedMetadata,Draft
726,Module,Draft
754,IEEE754FloatingPointSpecialValues,Rejected
733,AnEvaluationofPython’sPublicCAPI,Draft
3100,MiscellaneousPython3.0Plans,Final
3099,ThingsthatwillNotChangeinPython3000,Final
3003,PythonLanguageMoratorium,Final
3002,ProcedureforBackwards-IncompatibleChanges,Final
3000,Python3000,Final
801,Reserved,Active
3101,AdvancedStringFormatting,Final
3001,Procedureforreviewingandimprovingstandardlibrarymodules,Withdrawn
3114,Renamingiterator.next()toiterator.__next__(),Final
3113,RemovalofTupleParameterUnpacking,Final
3112,BytesliteralsinPython3000,Final
3111,Simpleinputbuilt-ininPython3000,Final
3110,CatchingExceptionsinPython3000,Final
3109,RaisingExceptionsinPython3000,Final
3120,UsingUTF-8asthedefaultsourceencoding,Final
3119,IntroducingAbstractBaseClasses,Final
3123,MakingPyObject_HEADconformtostandardC,Final
3129,ClassDecorators,Final
3128,BList:AFasterList-likeType,Rejected
3126,RemoveImplicitStringConcatenation,Rejected
3125,RemoveBackslashContinuation,Rejected
3124,"Overloading,GenericFunctions,Interfaces,andAdaptation",Deferred
3127,IntegerLiteralSupportandSyntax,Final
3130,AccesstoCurrentModule/Class/Function,Rejected
3137,ImmutableBytesandMutableBuffer,Final
3136,Labeledbreakandcontinue,Rejected
3135,NewSuper,Final
3134,ExceptionChainingandEmbeddedTracebacks,Final
3140,"str(container)shouldcallstr(item),notrepr(item)",Rejected
3139,Cleaningoutsysandthe“interpreter”module,Rejected
3138,StringrepresentationinPython3000,Final
3133,IntroducingRoles,Rejected
3142,Adda“while”clausetogeneratorexpressions,Rejected
3143,Standarddaemonprocesslibrary,Deferred
3132,ExtendedIterableUnpacking,Final
3146,MergingUnladenSwallowintoCPython,Withdrawn
3145,AsynchronousI/OForsubprocess.Popen,Withdrawn
3144,IPAddressManipulationLibraryforthePythonStandardLibrary,Final
3141,ATypeHierarchyforNumbers,Final
3149,ABIversiontagged.sofiles,Final
3153,AsynchronousIOsupport,Superseded
3156,AsynchronousIOSupportRebooted:the“asyncio”Module,Final
3155,Qualifiednameforclassesandfunctions,Final
3154,Pickleprotocolversion4,Final
3152,Cofunctions,Rejected
3151,ReworkingtheOSandIOexceptionhierarchy,Final
3150,Statementlocalnamespaces(aka“given”clause),Deferred
3333,PythonWebServerGatewayInterfacev1.0.1,Final
8002,OpenSourceGovernanceSurvey,Final
3147,PYCRepositoryDirectories,Final
8001,PythonGovernanceVotingProcess,Final
8000,PythonLanguageGovernanceProposalOverview,Final
3148,futures-executecomputationsasynchronously,Final
8010,TheTechnicalLeaderGovernanceModel,Rejected
3131,SupportingNon-ASCIIIdentifiers,Final
8015,OrganizationofthePythoncommunity,Rejected
8016,TheSteeringCouncilModel,Accepted
8014,TheCommonsGovernanceModel,Rejected
8013,TheExternalCouncilGovernanceModel,Rejected
8012,TheCommunityGovernanceModel,Rejected
8011,PythonGovernanceModelLeadbyTrioofPythonistas,Rejected
8101,2020TermSteeringCouncilelection,Final
8100,January2019SteeringCouncilelection,Final
8105,2024TermSteeringCouncilelection,Active
8104,2023TermSteeringCouncilelection,Active
8103,2022TermSteeringCouncilelection,Final
8102,2021TermSteeringCouncilelection,Final
3122,Delineationofthemainmodule,Rejected
3121,ExtensionModuleInitializationandFinalization,Final
3118,Revisingthebufferprotocol,Final
3117,Postfixtypedeclarations,Rejected
3115,MetaclassesinPython3000,Final
3108,StandardLibraryReorganization,Final
3107,FunctionAnnotations,Final
3106,"Revampingdict.keys(),.values()and.items()",Final
3105,Makeprintafunction,Final
